new,old
A1,A1A;A1B
A2,A3A;A3B
A3,A2
A4,
A5,A4
A6,A5
A7,
A8,A7
A9,A6
A10,A8
A11,A9
A12,A10
A13,A11A
A14,A11B
A15,A12
C2,40
C3,41
C4,42
C5,43
C6,44
C7,45A
C8,46
C9,45B
C10,48
C11,47
D1,50A
D2,50B
D3,51A
D4,51B
D5,52
D6,53
D7,54A
D8,54B
D9,55
D10,56A
D11,56B
D12,57
D14,58A
D15,58B
D16,59A
D17,59B
D18,59C
E1,71B
E2,71A
E3,70
E4,60
E5,61
E6,69
E7,62
E8,68
E9,63
E10,67
E11,64
E12,66
E13,65
F1,75
F2,74
F3,73
F3A,73A
F4,72
F5,76A;76B
F6,77A
F7,77B
F8,77C
F9,79
F10,78
F11,80
F12,81
F13,82
F14,83
F15,84
F16,85
F17,87
F18,87A
F19,89
F20,90
F21,88
F22,86
G1,G92
G2,G94
G3,G91
G4,G93
G5,96
G6,G98
G7,G95
G8,G97
G9,G100
G10,G102
G11,G99A
G12,G99B
G13,G101A
G14,G101B
